ESTU,CCAA,SCORE_POLITICO_BRUTO,SCORE_MATERIAL_BRUTO,INDICE_ANCLAJE,INDICE_DESAFECCION_FINAL,N_MUESTRA,FECHA,CCAA_NOMBRE
3395.0,1.0,23.78939600173013,38.277891167077634,17.200390557256647,21.153793823940738,677,2023-02,Andalucía
3395.0,2.0,23.611918643758187,33.84713788759931,16.48568729281752,20.76142610338192,103,2023-02,Aragón
3395.0,3.0,21.7476283404613,41.26080516213171,16.383262123555124,19.601881853698828,96,2023-02,Asturias
3395.0,4.0,22.272954196712174,30.874504590967423,19.22282545553671,21.052902700241994,99,2023-02,Baleares
3395.0,5.0,22.85876673185118,37.34378095783027,19.657964656578912,21.57844590174227,160,2023-02,Canarias
3395.0,6.0,20.18216774280271,41.231268588820456,17.869547215102962,19.25711953172281,97,2023-02,Cantabria
3395.0,7.0,24.16950073632476,39.574349405247816,15.824717567624441,20.83158746884463,168,2023-02,Castilla-La Mancha
3395.0,8.0,25.229591729601697,31.582429671934584,17.19593694257288,22.01612981479017,195,2023-02,Castilla y León
3395.0,9.0,22.78735316176338,33.394766065914474,21.665065938598694,22.338438272497513,562,2023-02,Cataluña
3395.0,10.0,24.867288009178658,33.660627906087555,17.198477399956708,21.79976376548987,375,2023-02,C. Valenciana
3395.0,11.0,18.957307876701744,39.07273448216174,23.30375099630467,20.695885124542915,85,2023-02,Extremadura
3395.0,12.0,22.247847972047282,34.01915615497693,15.218027152498232,19.435919644227663,250,2023-02,Galicia
3395.0,13.0,25.577292774304173,36.43704309054014,15.526694863447688,21.557053609961578,565,2023-02,Madrid
3395.0,14.0,27.348149244996314,35.32781791066877,18.820782185932217,23.937202421370674,120,2023-02,Murcia
3395.0,15.0,20.289208024854954,34.889581165300775,18.141619101167464,19.430172455379964,102,2023-02,Navarra
3395.0,16.0,15.900717286336866,38.37775525531694,21.94091669772592,18.316797050892486,174,2023-02,País Vasco
3395.0,17.0,24.891873377372704,32.31024652857299,15.521616399165396,21.143770586089783,91,2023-02,La Rioja
3398.0,1.0,24.935102840267305,39.9166040494988,18.042352554500553,22.178002725960603,653,2023-03,Andalucía
3398.0,2.0,24.102340554143865,40.075414879792966,22.19708797751718,23.340239523493192,97,2023-03,Aragón
3398.0,3.0,23.841247185425587,36.529988576662426,17.544502219742267,21.322549199152263,103,2023-03,Asturias
3398.0,4.0,22.809113933070666,38.11528796754582,14.614851015776782,19.53140876615311,98,2023-03,Baleares
3398.0,5.0,25.98931616343757,35.727356148527875,17.01846793793736,22.400976873237482,142,2023-03,Canarias
3398.0,6.0,24.736002296690096,38.99391141742461,12.704404162446655,19.923363042992722,90,2023-03,Cantabria
3398.0,7.0,29.377360540289047,33.11906199492505,18.526048363558417,25.036835669596798,152,2023-03,Castilla-La Mancha
3398.0,8.0,26.164289528323508,33.64892076193607,17.534666959663507,22.712440500859504,191,2023-03,Castilla y León
3398.0,9.0,21.280884632265106,37.02551199828411,19.591163577468393,20.60499621034642,571,2023-03,Cataluña
3398.0,10.0,24.39330764725416,37.160861202987476,17.746579343375686,21.734616325702778,378,2023-03,C. Valenciana
3398.0,11.0,26.949106393812908,34.13344142128405,21.525874337509016,24.779813571291353,99,2023-03,Extremadura
3398.0,12.0,24.749713162158027,41.0964635254112,17.552218568483323,21.870715324688142,228,2023-03,Galicia
3398.0,13.0,26.85596304474248,38.73136418905095,13.897245181757572,21.67247589954851,515,2023-03,Madrid
3398.0,14.0,21.652781249798267,38.28161103645896,19.232778674728742,20.684780219770456,105,2023-03,Murcia
3398.0,15.0,27.763796676386978,37.856533469599846,23.670170495593123,26.126346204069435,90,2023-03,Navarra
3398.0,16.0,19.858651500144894,37.35009038334206,20.503361451702393,20.11653548076789,181,2023-03,País Vasco
3398.0,17.0,28.54760386270006,34.562373100234694,17.5288397953062,24.140098235742517,80,2023-03,La Rioja
3403.0,1.0,24.409202960564723,43.32751269164035,16.136679039794302,21.100193392256557,725,2023-04,Andalucía
3403.0,2.0,20.867312280601,41.55451659594804,22.41832442052613,21.487717136571053,113,2023-04,Aragón
3403.0,3.0,27.297669182309896,42.017980953833195,21.22876353658517,24.87010692402,105,2023-04,Asturias
3403.0,4.0,23.50543867425921,38.89358629004688,14.66319039163176,19.968539361208233,104,2023-04,Baleares
3403.0,5.0,19.91232068995957,43.63328384230156,16.84914918410078,18.687052087616056,186,2023-04,Canarias
3403.0,6.0,27.55979849374402,36.222631661680914,19.386958468342463,24.290662483583397,111,2023-04,Cantabria
3403.0,7.0,26.14429341393223,40.84606768943637,15.916840725554648,22.053312338581193,177,2023-04,Castilla-La Mancha
3403.0,8.0,23.952936299927348,42.20057175117359,16.2104264735013,20.855932369356935,205,2023-04,Castilla y León
3403.0,9.0,22.96622160326212,39.13964611893731,18.777715624514855,21.290819211763214,588,2023-04,Cataluña
3403.0,10.0,21.05767527036218,43.01267057625882,18.129030816050925,19.886217488637676,398,2023-04,C. Valenciana
3403.0,11.0,23.61945096167866,43.53652248914315,17.460742819087475,21.155967704642183,105,2023-04,Extremadura
3403.0,12.0,23.690594405985802,41.75492038501458,14.620456199391512,20.062539123348085,256,2023-04,Galicia
3403.0,13.0,22.03942623810884,43.06273698360333,14.858082606936723,19.166888785639994,544,2023-04,Madrid
3403.0,14.0,27.323097802553466,35.628724349441946,15.520908750115845,22.60222218157842,123,2023-04,Murcia
3403.0,15.0,21.227518794146565,44.175482255133176,12.324750780200752,17.66641158856824,101,2023-04,Navarra
3403.0,16.0,17.93588183791239,49.78003205238434,17.186733279535968,17.636222414561825,172,2023-04,País Vasco
3403.0,17.0,23.7507110194033,43.04864728183669,19.112063015451582,21.89525181782261,109,2023-04,La Rioja
3405.0,1.0,22.144057847679264,41.718471502528416,15.663060063780444,19.551658734119734,678,2023-05,Andalucía
3405.0,2.0,20.02892959531463,36.72426421939494,17.841657338891984,19.154020692745572,113,2023-05,Aragón
3405.0,3.0,24.223943697814,37.92147626618994,15.733967613627595,20.827953264139435,102,2023-05,Asturias
3405.0,4.0,23.891098159934497,43.55833565144086,22.153406360302064,23.196021440081527,106,2023-05,Baleares
3405.0,5.0,24.452435696109347,39.962029352464505,18.341836955728265,22.008196199956917,180,2023-05,Canarias
3405.0,6.0,25.3205313662447,35.06758834521823,17.18706811481072,22.06714606567111,101,2023-05,Cantabria
3405.0,7.0,20.120164528745462,41.55884400716468,14.042873348695746,17.689248056725575,159,2023-05,Castilla-La Mancha
