Periodo,Año,Trimestre,Region,Categoria,Valor
2024-Q1,2024,1,AND,3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,1171.0
2024-Q1,2024,1,AND,4. Secuestro,9.0
2024-Q1,2024,1,AND,5. Delitos contra la libertad sexual,694.0
2024-Q1,2024,1,AND,5.1.-AgresiÃ³n sexual con penetraciÃ³n,119.0
2024-Q1,2024,1,AND,5.2.-Resto de delitos contra la libertad sexual,575.0
2024-Q1,2024,1,AND,6. Robos con violencia e intimidaciÃ³n,1818.0
2024-Q1,2024,1,AND,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",4785.0
2024-Q1,2024,1,AND,7.1.-Robos con fuerza en domicilios,3297.0
2024-Q1,2024,1,AND,8. Hurtos,21392.0
2024-Q1,2024,1,AND,9. Sustracciones de vehÃ­culos,1526.0
2024-Q1,2024,1,AND,10. TrÃ¡fico de drogas,1047.0
2024-Q1,2024,1,AND,11. Resto de criminalidad convencional,45292.0
2024-Q1,2024,1,AND,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),21604.0
2024-Q1,2024,1,AND,12.-Estafas informÃ¡ticas,19064.0
2024-Q1,2024,1,AND,13.-Otros ciberdelitos,2540.0
2024-Q1,2024,1,AND,III. TOTAL INFRACCIONES PENALES,99413.0
2023-Q4,2023,4,ESP,I. CRIMINALIDAD CONVENCIONAL,1989271.0
2023-Q4,2023,4,ESP,1. Homicidios dolosos y asesinatos consumados,336.0
2023-Q4,2023,4,ESP,2. Homicidios dolosos y asesinatos en grado tentativa,1349.0
2023-Q4,2023,4,ESP,3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,27413.0
2023-Q4,2023,4,ESP,4. Secuestro,122.0
2023-Q4,2023,4,ESP,5. Delitos contra la libertad sexual,19981.0
2023-Q4,2023,4,ESP,5.1.-AgresiÃ³n sexual con penetraciÃ³n,4875.0
2023-Q4,2023,4,ESP,5.2.-Resto de delitos contra la libertad sexual,15106.0
2023-Q4,2023,4,ESP,6. Robos con violencia e intimidaciÃ³n,64785.0
2023-Q4,2023,4,ESP,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",122444.0
2023-Q4,2023,4,ESP,7.1.-Robos con fuerza en domicilios,84446.0
2023-Q4,2023,4,ESP,8. Hurtos,663370.0
2023-Q4,2023,4,ESP,9. Sustracciones de vehÃ­culos,32820.0
2023-Q4,2023,4,ESP,10. TrÃ¡fico de drogas,20875.0
2023-Q4,2023,4,ESP,11. Resto de criminalidad convencional,1035776.0
2023-Q4,2023,4,ESP,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),470388.0
2023-Q4,2023,4,ESP,12.-Estafas informÃ¡ticas,426744.0
2023-Q4,2023,4,ESP,13.-Otros ciberdelitos,43644.0
2023-Q4,2023,4,ESP,III. TOTAL INFRACCIONES PENALES,2459659.0
2023-Q4,2023,4,AND,I. CRIMINALIDAD CONVENCIONAL,332242.0
2023-Q4,2023,4,AND,1. Homicidios dolosos y asesinatos consumados,71.0
2023-Q4,2023,4,AND,2. Homicidios dolosos y asesinatos en grado tentativa,291.0
2023-Q4,2023,4,AND,3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,5142.0
2023-Q4,2023,4,AND,4. Secuestro,35.0
2023-Q4,2023,4,AND,5. Delitos contra la libertad sexual,3062.0
2023-Q4,2023,4,AND,5.1.-AgresiÃ³n sexual con penetraciÃ³n,603.0
2023-Q4,2023,4,AND,5.2.-Resto de delitos contra la libertad sexual,2459.0
2023-Q4,2023,4,AND,6. Robos con violencia e intimidaciÃ³n,7705.0
2023-Q4,2023,4,AND,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",20266.0
2023-Q4,2023,4,AND,7.1.-Robos con fuerza en domicilios,14081.0
2023-Q4,2023,4,AND,8. Hurtos,95607.0
2023-Q4,2023,4,AND,9. Sustracciones de vehÃ­culos,5965.0
2023-Q4,2023,4,AND,10. TrÃ¡fico de drogas,4782.0
2023-Q4,2023,4,AND,11. Resto de criminalidad convencional,189316.0
2023-Q4,2023,4,AND,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),81251.0
2023-Q4,2023,4,AND,12.-Estafas informÃ¡ticas,72784.0
2023-Q4,2023,4,AND,13.-Otros ciberdelitos,8467.0
2023-Q4,2023,4,AND,III. TOTAL INFRACCIONES PENALES,413493.0
2023-Q3,2023,3,ESP,I. CRIMINALIDAD CONVENCIONAL,1489660.0
2023-Q3,2023,3,ESP,1. Homicidios dolosos y asesinatos consumados,268.0
2023-Q3,2023,3,ESP,2. Homicidios dolosos y asesinatos en grado tentativa,1052.0
2023-Q3,2023,3,ESP,3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,20666.0
2023-Q3,2023,3,ESP,4. Secuestro,91.0
2023-Q3,2023,3,ESP,5. Delitos contra la libertad sexual,15051.0
2023-Q3,2023,3,ESP,5.1.-AgresiÃ³n sexual con penetraciÃ³n,3693.0
2023-Q3,2023,3,ESP,5.2.-Resto de delitos contra la libertad sexual,11358.0
2023-Q3,2023,3,ESP,6. Robos con violencia e intimidaciÃ³n,48262.0
2023-Q3,2023,3,ESP,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",90258.0
2023-Q3,2023,3,ESP,7.1.-Robos con fuerza en domicilios,62147.0
2023-Q3,2023,3,ESP,8. Hurtos,498984.0
2023-Q3,2023,3,ESP,9. Sustracciones de vehÃ­culos,24229.0
2023-Q3,2023,3,ESP,10. TrÃ¡fico de drogas,15750.0
2023-Q3,2023,3,ESP,11. Resto de criminalidad convencional,775049.0
2023-Q3,2023,3,ESP,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),337251.0
2023-Q3,2023,3,ESP,12.-Estafas informÃ¡ticas,304819.0
2023-Q3,2023,3,ESP,13.-Otros ciberdelitos,32432.0
2023-Q3,2023,3,ESP,III. TOTAL INFRACCIONES PENALES,1826911.0
2023-Q3,2023,3,AND,I. CRIMINALIDAD CONVENCIONAL,250502.0
2023-Q3,2023,3,AND,1. Homicidios dolosos y asesinatos consumados,62.0
2023-Q3,2023,3,AND,2. Homicidios dolosos y asesinatos en grado tentativa,226.0
2023-Q3,2023,3,AND,3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,3862.0
2023-Q3,2023,3,AND,4. Secuestro,29.0
2023-Q3,2023,3,AND,5. Delitos contra la libertad sexual,2358.0
2023-Q3,2023,3,AND,5.1.-AgresiÃ³n sexual con penetraciÃ³n,474.0
2023-Q3,2023,3,AND,5.2.-Resto de delitos contra la libertad sexual,1884.0
2023-Q3,2023,3,AND,6. Robos con violencia e intimidaciÃ³n,5699.0
2023-Q3,2023,3,AND,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",15087.0
2023-Q3,2023,3,AND,7.1.-Robos con fuerza en domicilios,10412.0
2023-Q3,2023,3,AND,8. Hurtos,72221.0
2023-Q3,2023,3,AND,9. Sustracciones de vehÃ­culos,4456.0
2023-Q3,2023,3,AND,10. TrÃ¡fico de drogas,3529.0
2023-Q3,2023,3,AND,11. Resto de criminalidad convencional,142973.0
2023-Q3,2023,3,AND,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),57576.0
